Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-07-01 14:45:44	762	1501	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		9.96322	412.733	124.706	0	12516.7	0.0306306	78644.4	2	0.0088623	13.6036	29.5914	0	0	
2017-07-01 14:45:18	755	1502	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.95656	437.718	2.67134	0	268.299	2.50692	1685.77	2	0.0088623	13.6568	30.1112	0	0	
2017-07-01 14:45:04	751	1503	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		1.67429	403.962	48.1734	0	28772.4	1.42489	180782	2	0.0088623	13.772	29.9813	0	0	
2017-07-01 14:45:07	752	1504	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0704	117.838	0.378986	0	7.56905	23.8931	47.5578	2	0.0088623	13.5327	30.2411	0	0	
2017-07-01 14:45:37	760	1505	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.071	58.4091	19.0932	0	381.323	1.40583	2395.92	2	0.0088623	13.6568	29.7214	0	0	
2017-07-01 14:45:29	758	1506	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.94908	480.359	226.908	0	22806.9	5.93123	143300	2	0.0088623	13.6745	29.8513	0	0	
2017-07-01 14:45:48	763	1507	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		4.727	456.528	3.41242	0	721.9	4.32124	4535.83	2	0.0088623	13.6745	29.4615	0	0	
2017-07-01 14:45:26	757	1508	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		5.35046	410.08	0.934142	0	174.591	0.665946	1096.99	2	0.0088623	13.6036	29.8513	0	0	
2017-07-01 14:45:15	754	1510	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.39119	450.945	101.661	0	10825.1	12.0071	68016.1	2	0.0088623	13.5682	30.1112	0	0	
2017-07-01 14:45:55	765	1511	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		3.468	484.993	3.27002	0	942.913	0.335198	5924.5	2	0.0088623	13.6036	29.4615	0	0	
2017-07-01 14:45:33	759	1512	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.96198	438.837	6.6944E-5	0	0.00671995	1.26024	0.0422227	2	0.0088623	13.71	29.7214	0	0	
2017-07-01 14:45:52	764	1513	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		3.48973	502.404	2.24833	0	644.272	1.49941	4048.08	2	0.0088623	13.6745	29.4615	0	0	
2017-07-01 14:45:11	753	1514	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.94604	483.981	165.239	0	16613.5	5.65872	104386	2	0.0088623	13.7454	30.2411	0	0	
2017-07-01 14:45:22	756	1515	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		8.57887	444.42	199.286	0	23229.9	4.26448	145958	2	0.0088623	13.7277	29.9813	0	0	
