Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-06-29 14:25:44	222	421	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		50.0464	275.854	3.51827	0	70.3001	0.587206	441.708	2	0.0088623	13.5505	29.5914	0	0	
2017-06-29 14:25:17	215	422	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		50.0319	366.285	0.593912	0	11.8707	5.50293	74.5856	2	0.0088623	13.8163	30.1112	0	0	
2017-06-29 14:25:04	211	423	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		50.0395	309.449	59.3451	0	1185.96	0.388636	7451.64	2	0.0088623	13.8163	30.2411	0	0	
2017-06-29 14:25:07	212	424	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0604	202.879	2.11106	0	42.1702	0.44134	264.963	2	0.0088623	13.4441	30.2411	0	0	
2017-06-29 14:25:35	220	425	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		49.9775	482.62	79.9375	0	1599.47	1.0149	10049.8	2	0.0088623	13.9493	29.7214	0	0	
2017-06-29 14:25:28	218	426	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		50.0641	211.861	88.0917	0	1759.58	10.2776	11055.8	2	0.0088623	13.9227	29.9813	0	0	
2017-06-29 14:25:47	223	427	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		50.0475	321.594	30.5057	0	609.535	0.0669944	3829.82	2	0.0088623	13.9936	29.5914	0	0	
2017-06-29 14:25:24	217	428	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		50.0623	194.155	1.74273	0	34.8112	0.263712	218.725	2	0.0088623	13.9581	29.9813	0	0	
2017-06-29 14:25:38	221	429	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		49.2655	480.288	17.6271	0	357.799	0.96505	2248.12	2	0.0088623	13.7277	29.7214	0	0	
2017-06-29 14:25:14	214	430	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		50.0082	432.481	56.9082	0	1137.98	4.16896	7150.12	2	0.0088623	13.3378	30.2411	0	0	
2017-06-29 14:25:54	225	431	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		50.0173	446.505	35.5981	0	711.717	0.20421	4471.85	2	0.0088623	13.5771	29.2016	0	0	
2017-06-29 14:25:31	219	432	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		50.0567	204.453	6.11477E-5	0	0.00122157	1.11539	0.00767533	2	0.0088623	13.5859	29.7214	0	0	
2017-06-29 14:25:50	224	433	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		50.03	414.246	38.624	0	772.018	0.392694	4850.73	2	0.0088623	13.8784	29.4615	0	0	
2017-06-29 14:25:11	213	434	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		50.0467	313.07	84.5272	0	1688.97	0.673069	10612.1	2	0.0088623	13.5505	30.2411	0	0	
2017-06-29 14:25:21	216	435	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		50.0488	280.182	149.941	0	2995.89	1.49749	18823.8	2	0.0088623	13.3909	30.1112	0	0	
